"","month","hour","temp","prec","windV","windD","Humid","vaporP","dewpoint","localP","seelevelP","sunhr","insolation","totalcloud","mid_low_cloud","visibility","Min_cloudheight","groundC","groundtemp"
"1",1,1,2.6,NA,2.3,250,66,4.9,-3.1,1002.2,1012.9,NA,NA,NA,NA,NA,NA,NA,-0.1
"2",1,2,1.7,NA,1.7,250,67,4.6,-3.7,1002.4,1013.1,NA,NA,NA,NA,NA,NA,NA,-0.3
"3",1,3,1.4,NA,1.4,250,60,4.1,-5.5,1002.2,1012.9,NA,NA,0,0,NA,600,4,-0.4
"4",1,4,0.9,NA,2.8,270,59,3.8,-6.2,1002.5,1013.2,NA,NA,0,0,NA,600,NA,-0.6
"5",1,5,0.6,NA,2,270,56,3.6,-7.1,1002.1,1012.8,NA,NA,0,0,NA,800,NA,-0.7
"6",1,6,0.7,NA,2.3,230,53,3.4,-7.8,1002.1,1012.8,NA,NA,0,0,NA,1000,NA,-1.1
"7",1,7,0.7,NA,1.7,230,55,3.5,-7.3,1002.5,1013.2,NA,NA,0,0,NA,1000,NA,-1.3
"8",1,8,0.5,NA,1.6,230,55,3.5,-7.5,1002.9,1013.7,0,0,0,0,NA,1500,NA,-1.5
"9",1,9,1.8,NA,2.3,230,54,3.8,-6.5,1003.6,1014.3,0,0.16,3,3,10,1400,4,-0.2
"10",1,10,3.6,NA,2.9,230,55,4.3,-4.6,1003.9,1014.5,0.6,0.38,6,6,10,1200,NA,0.2
"11",1,11,5.4,NA,5.3,250,55,4.9,-2.9,1003.6,1014.2,0.7,0.62,6,6,10,1100,NA,0.7
"12",1,12,7,0,5.3,270,44,4.4,-4.4,1003.4,1013.9,1,1.04,6,6,10,1400,NA,2
"13",1,13,6.7,NA,7.2,270,51,5,-2.7,1003.2,1013.7,0.9,1.13,6,6,10,1300,NA,2
"14",1,14,7.1,NA,5.5,270,45,4.5,-4,1002.4,1012.9,0.7,0.79,3,3,10,1300,NA,4.4
"15",1,15,7.6,NA,5.2,270,29,3,-9.3,1002.2,1012.6,1,1.08,6,5,32,1400,1,3.5
"16",1,16,7.6,NA,5.9,250,33,3.5,-7.6,1002.4,1012.8,1,0.73,0,0,NA,1200,NA,1.5
"17",1,17,6.6,NA,5.5,250,53,5.2,-2.3,1002.8,1013.3,0.5,0.23,0,0,NA,1200,NA,0.7
"18",1,18,6.1,NA,4.5,230,59,5.6,-1.3,1003,1013.5,0,0.01,2,1,10,1000,NA,0
"19",1,19,5.9,NA,3.5,230,66,6.1,0,1003.4,1013.9,NA,NA,NA,NA,NA,NA,NA,0.2
"20",1,20,5.6,NA,5.3,270,61,5.6,-1.3,1003.9,1014.5,NA,NA,NA,NA,NA,NA,NA,0
"21",1,21,4.9,NA,3.5,270,67,5.8,-0.7,1004.9,1015.5,NA,NA,0,0,NA,800,1,0.1
"22",1,22,4.3,NA,3.8,270,61,5.1,-2.5,1005.7,1016.3,NA,NA,NA,NA,NA,NA,NA,0.1
"23",1,23,3.6,NA,3.9,270,50,4,-5.8,1006.8,1017.5,NA,NA,NA,NA,NA,NA,NA,0
"24",1,0,2.8,NA,3.5,290,44,3.3,-8.2,1007.6,1018.3,NA,NA,0,0,NA,1100,NA,-0.1
"25",1,1,2,NA,1.8,320,46,3.2,-8.4,1007.9,1018.6,NA,NA,NA,NA,NA,NA,NA,-0.3
"26",1,2,1,NA,0.8,230,46,3,-9.3,1008.2,1019,NA,NA,NA,NA,NA,NA,NA,-0.4
"27",1,3,0.3,NA,0.7,320,50,3.1,-8.9,1008.5,1019.3,NA,NA,0,0,NA,1200,4,-0.6
"28",1,4,0.1,NA,3,290,50,3.1,-9.1,1009,1019.8,NA,NA,0,0,NA,1200,NA,-0.7
"29",1,5,-0.5,NA,1.8,290,46,2.7,-10.7,1009.2,1020.1,NA,NA,0,0,NA,1400,NA,-1
"30",1,6,-0.8,NA,2,290,50,2.9,-9.9,1009.9,1020.8,NA,NA,0,0,NA,1400,NA,-1.3
"31",1,7,-1.1,NA,1.8,290,49,2.8,-10.4,1011,1021.9,NA,NA,0,0,NA,1400,NA,-1.7
"32",1,8,-1.2,NA,1.9,320,48,2.7,-10.8,1011.5,1022.4,0,0,0,0,NA,1600,NA,-1.9
"33",1,9,-0.9,NA,0.8,20,36,2.1,-14.1,1011.9,1022.8,0.9,0.25,1,0,NA,1800,4,-1.1
"34",1,10,0.8,NA,3.5,290,29,1.9,-15.2,1012.5,1023.3,1,0.77,0,0,NA,1800,NA,0.3
"35",1,11,2.6,NA,3.1,270,23,1.7,-16.5,1012.8,1023.6,1,1.22,0,0,NA,2000,NA,0.8
"36",1,12,3.7,NA,3,270,22,1.7,-16.1,1012.1,1022.8,1,1.49,0,0,NA,2000,NA,2.6
"37",1,13,4.9,NA,3.4,250,20,1.7,-16.2,1011.3,1022,1,1.6,1,0,NA,2000,NA,2.3
"38",1,14,5.5,NA,2.9,270,19,1.7,-16.3,1010.6,1021.2,1,1.54,0,0,NA,2000,NA,4.9
"39",1,15,5.6,NA,2.8,290,18,1.6,-16.9,1010.5,1021.1,1,1.23,0,0,NA,2000,1,2
"40",1,16,6,NA,2,270,19,1.8,-15.9,1010.7,1021.3,1,0.77,0,0,NA,2000,NA,0.4
"41",1,17,5,NA,1.8,290,21,1.8,-15.5,1010.8,1021.5,1,0.3,0,0,NA,2000,NA,0.1
"42",1,18,3.3,NA,1.5,270,27,2.1,-13.9,1010.4,1021.1,0.1,0.01,0,0,NA,2000,NA,-0.1
"43",1,19,2.7,NA,1.9,290,28,2.1,-14,1010.7,1021.4,NA,NA,NA,NA,NA,NA,NA,-0.3
"44",1,20,1.5,NA,2,270,34,2.3,-12.6,1010.3,1021.1,NA,NA,NA,NA,NA,NA,NA,-0.4
"45",1,21,0.9,NA,0.9,290,34,2.2,-13.2,1010.2,1021,NA,NA,1,0,NA,1600,4,-0.5
"46",1,22,0.5,NA,1.2,270,39,2.5,-11.8,1010.6,1021.4,NA,NA,NA,NA,NA,NA,NA,-0.6
"47",1,23,0.3,NA,1,270,43,2.7,-10.8,1010.5,1021.3,NA,NA,NA,NA,NA,NA,NA,-0.7
"48",1,0,-0.1,NA,1.7,50,46,2.8,-10.3,1009.9,1020.8,NA,NA,0,0,NA,1600,NA,-1
"49",1,1,-0.6,NA,1.4,20,44,2.6,-11.3,1010,1020.9,NA,NA,NA,NA,NA,NA,NA,-1.2
"50",1,2,-0.5,NA,1.6,50,50,3,-9.6,1009.6,1020.5,NA,NA,NA,NA,NA,NA,NA,-1.4
"51",1,3,-0.7,NA,1.7,50,49,2.8,-10.1,1009.6,1020.5,NA,NA,4,0,NA,1500,4,-1.1
"52",1,4,-0.8,NA,1.7,20,51,3,-9.6,1008.9,1019.8,NA,NA,7,0,NA,1500,NA,-1.1
"53",1,5,-0.6,NA,2.3,50,50,2.9,-9.7,1008,1018.8,NA,NA,6,0,NA,1400,NA,-1.1
"54",1,6,-1,NA,1.9,50,50,2.8,-10.1,1007.8,1018.7,NA,NA,3,0,NA,1400,NA,-1.6
"55",1,7,-0.9,NA,1.7,50,50,2.9,-10,1007.4,1018.3,NA,NA,7,0,NA,1400,NA,-1.3
"56",1,8,-0.7,NA,2.6,50,50,2.9,-9.8,1007.2,1018,0,0,7,0,NA,2000,NA,-1.1
"57",1,9,-0.1,NA,1.7,20,46,2.8,-10.3,1007.4,1018.2,0,0.08,7,0,NA,2000,4,-0.4
"58",1,10,1.3,NA,1.1,20,40,2.7,-10.8,1007.5,1018.3,0,0.34,8,0,NA,1700,NA,0.2
"59",1,11,3,NA,1.5,20,38,2.9,-9.9,1007.5,1018.2,0.2,0.63,8,0,NA,1400,NA,0.9
"60",1,12,5,NA,1.8,230,36,3.1,-8.8,1005.9,1016.5,0.5,0.89,6,0,NA,1200,NA,1.6
"61",1,13,6.8,NA,3.1,200,33,3.3,-8.3,1005.1,1015.6,1,1.22,6,0,NA,1200,NA,2.2
"62",1,14,6.9,NA,4,270,39,3.9,-6.1,1004.5,1015,0.7,0.86,7,7,10,1000,NA,2.2
"63",1,15,6.6,NA,3.6,270,51,5,-2.8,1004.4,1014.9,0.3,0.4,8,8,10,1200,1,2
"64",1,16,6.3,NA,2.5,270,56,5.4,-1.8,1004.5,1015,0,0.23,9,9,10,1200,NA,1.7
"65",1,17,6,NA,2.6,270,64,6,-0.3,1004.9,1015.5,0,0.04,9,9,10,1000,NA,1.2
"66",1,18,5.5,NA,3.4,290,70,6.3,0.4,1005.5,1016.1,0,0,8,8,10,1000,NA,1.2
