지점,지점명,월,시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),증기압(hPa),이슬점온도(°C),현지기압(hPa),해면기압(hPa),일조(hr),일사(MJ/m2),전운량(10분위),중하층운량(10분위),최저운고(100m ),시정(10m),지면상태(지면상태코드),지면온도(°C)
108,서울,1,0,-3.2,,0.5,110,40,1.9,-14.9,1015.4,1026.4,,,0,0,,1358,,-2.2
108,서울,1,1,-3.3,,0.7,360,41,2,-14.7,1015.1,1026.1,,,,0,,2000,,-2.7
108,서울,1,2,-3.7,,0.9,270,42,2,-14.7,1015.2,1026.3,,,,0,,2000,,-3
108,서울,1,3,-4,,1,290,44,2,-14.4,1015.5,1026.6,,,0,0,,2000,,-3.5
108,서울,1,4,-4.2,,1.1,290,53,2.4,-12.3,1015.5,1026.6,,,0,0,,1994,,-3.8
108,서울,1,5,-4.4,,0.8,290,54,2.4,-12.3,1015.7,1026.8,,,0,0,,1786,,-4.2
108,서울,1,6,-4.5,,1.1,320,51,2.2,-13.1,1015.8,1026.9,,,0,0,,2000,,-4.4
108,서울,1,7,-4.7,,1.1,290,56,2.4,-12.1,1016.1,1027.2,,,0,0,,2000,,-4.7
108,서울,1,8,-5,,1,290,55,2.3,-12.6,1016.5,1027.6,0,0,0,0,,2000,,-4.9
108,서울,1,9,-4.3,,0.7,290,39,1.7,-16.2,1017,1028.1,0.6,0.15,0,0,,1973,,-3.6
108,서울,1,10,-1.6,,0.8,270,32,1.7,-16.1,1017.7,1028.7,1,0.53,0,0,,1766,,-0.8
108,서울,1,11,0.1,,2.2,320,27,1.7,-16.7,1018.1,1029,1,0.84,1,1,35,1874,,0
108,서울,1,12,1.5,,2.8,290,20,1.4,-19,1017.6,1028.5,1,1.03,1,0,,1992,,0.3
108,서울,1,13,2.4,,2.3,290,22,1.6,-17.2,1016.7,1027.5,1,1.1,0,0,,1921,,1.2
108,서울,1,14,3.7,,2.1,230,24,1.9,-15,1016.4,1027.2,1,1.01,6,2,17,1906,,1.4
108,서울,1,15,3,,2.9,320,27,2,-14.2,1016.1,1026.9,1,0.78,7,7,14,1715,,1.4
108,서울,1,16,3,,2.5,230,28,2.1,-13.7,1016.5,1027.3,0.9,0.51,6,6,15,1864,,0
108,서울,1,17,1.8,,3.3,270,33,2.3,-12.8,1016.6,1027.4,0.8,0.18,0,0,,1913,,0
