날짜,PM10,PM2.5,오 존,이산화질소,일산화탄소,아황산가스
1,95,,0.053,0.031,0.4,0.008
2,90,,0.055,0.025,0.4,0.008
3,84,,0.049,0.023,0.4,0.007
4,81,,0.046,0.021,0.4,0.007
5,75,,0.047,0.019,0.4,0.006
6,73,,0.033,0.030,0.4,0.006
7,75,,0.022,0.040,0.5,0.006
8,80,,0.032,0.038,0.5,0.007
9,105,,0.045,0.036,0.5,0.007
10,95,,0.059,0.032,0.5,0.007
11,84,,0.058,0.033,0.4,0.007
12,85,,0.074,0.025,0.3,0.006
13,83,,0.074,0.025,0.3,0.006
14,84,,0.076,0.026,0.3,0.006
15,87,,0.081,0.024,0.3,0.005
16,87,,0.080,0.028,0.3,0.005
17,86,,0.077,0.027,0.3,0.005
18,81,,0.063,0.028,0.3,0.005
19,80,,0.051,0.031,0.3,0.005
20,82,,0.047,0.029,0.3,0.004
21,78,,0.046,0.026,0.3,0.004
22,75,,0.053,0.024,0.3,0.004
23,78,,0.020,0.057,0.4,0.004
0,79,,0.015,0.058,0.4,0.004
1,78,,0.015,0.056,0.4,0.004
2,72,,0.025,0.041,0.4,0.004
3,77,,0.030,0.031,0.3,0.004
4,76,,0.027,0.031,0.4,0.004
5,74,,0.029,0.029,0.4,0.004
6,79,,0.020,0.039,0.4,0.004
7,82,,0.015,0.050,0.5,0.004
8,88,,0.011,0.060,0.5,0.004
9,88,,0.011,0.070,0.7,0.004
10,112,,0.011,0.075,0.7,0.004
11,105,,0.017,0.062,0.6,0.005
12,101,,0.006,0.067,0.7,0.006
13,85,,0.008,0.059,0.6,0.005
14,64,,0.021,0.052,0.6,0.006
15,48,,0.032,0.046,0.4,0.006
16,58,,0.027,0.050,0.5,0.005
17,83,,0.018,0.053,0.5,0.004
18,69,,0.023,0.045,0.5,0.004
19,58,,0.022,0.049,0.6,0.004
20,68,,0.018,0.053,0.6,0.004
21,82,,0.010,0.059,0.6,0.004
22,96,,0.008,0.057,0.6,0.004
23,78,,0.008,0.050,0.5,0.004
0,71,,0.003,0.054,0.6,0.004
1,76,,0.016,0.044,0.5,0.005
2,50,,0.049,0.015,0.2,0.005
3,40,,0.049,0.013,0.2,0.005
4,44,,0.043,0.014,0.3,0.004
5,33,,0.041,0.014,0.3,0.004
6,29,,0.030,0.025,0.3,0.003
7,24,,0.023,0.034,0.3,0.003
8,21,,0.020,0.037,0.3,0.003
9,14,,0.016,0.042,0.4,0.003
10,16,,0.020,0.036,0.4,0.003
11,13,,0.022,0.035,0.4,0.003
12,14,,0.020,0.038,0.4,0.003
13,,,,,,
14,,,,,,
15,19,,0.011,0.047,0.5,0.003
16,21,,0.015,0.040,0.4,0.003
17,15,,0.015,0.041,0.4,0.003
18,14,,0.009,0.048,0.4,0.003
19,14,,0.008,0.050,0.4,0.003
20,21,,0.008,0.048,0.4,0.003
21,30,,0.012,0.041,0.4,0.003
22,35,,0.012,0.043,0.3,0.003
23,26,,0.010,0.048,0.3,0.003
0,20,,0.022,0.033,0.2,0.003
1,17,,0.029,0.026,0.2,0.003
2,9,,0.038,0.018,0.2,0.003
3,12,,0.044,0.013,0.2,0.003
4,18,,0.045,0.013,0.1,0.003
5,31,,0.048,0.013,0.1,0.003
6,36,,0.042,0.023,0.1,0.003
7,32,,0.034,0.031,0.1,0.003
8,25,,0.040,0.026,0.1,0.003
9,20,,0.038,0.028,0.1,0.003
10,17,,0.040,0.027,0.2,0.003
11,17,,0.042,0.024,0.2,0.003
12,15,,0.047,0.022,0.1,0.003
13,15,,0.050,0.019,0.1,0.003
14,13,,0.045,0.026,0.1,0.003
15,18,,0.038,0.030,0.1,0.003
16,15,,0.039,0.031,0.1,0.003
17,17,,0.037,0.029,0.1,0.003
18,17,,0.038,0.026,0.1,0.003
19,21,,0.033,0.032,0.1,0.003
20,21,,0.034,0.031,0.1,0.003
21,27,,0.034,0.031,0.1,0.003
22,20,,0.039,0.028,0.1,0.003
23,27,,0.042,0.027,0.1,0.003
0,25,,0.045,0.022,0.1,0.003
1,21,,0.047,0.018,0.1,0.003
2,23,,0.048,0.015,0.1,0.002
3,20,,0.048,0.013,0.1,0.002
4,20,,0.047,0.013,0.1,0.003
5,22,,0.045,0.015,0.1,0.003
6,19,,0.038,0.023,0.1,0.003
7,19,,0.029,0.033,0.1,0.003
8,16,,0.031,0.031,0.1,0.003
9,12,,0.025,0.039,0.2,0.003
10,15,,0.028,0.037,0.2,0.003
11,15,,0.031,0.038,0.3,0.003
12,11,,0.037,0.032,0.2,0.003
13,13,,0.037,0.032,0.2,0.003
14,14,,0.041,0.028,0.1,0.003
15,18,,0.034,0.037,0.2,0.003
16,10,,0.031,0.042,0.2,0.003
17,18,,0.034,0.032,0.2,0.003
18,11,,0.035,0.032,0.2,0.003
19,15,,0.029,0.038,0.2,0.003
20,22,,0.021,0.047,0.2,0.003
21,24,,0.024,0.041,0.2,0.003
22,25,,0.020,0.042,0.2,0.003
23,21,,0.019,0.043,0.2,0.003
0,22,,0.018,0.043,0.1,0.003
1,22,,0.012,0.048,0.2,0.003
