날짜,PM10,PM2.5,오 존,이산화질소,일산화탄소,아황산가스,
1,29,17,0.002,,0.2,0.001,
2,27,23,0.002,,0.2,0.001,
3,32,20,0.003,,0.1,0.001,
4,38,19,0.005,,0.1,0.001,
5,31,22,0.007,,0.2,0.001,
6,28,24,0.008,,0.2,0.001,
7,41,31,0.003,,0.3,0.001,
8,39,22,0.004,,0.4,0.001,
9,43,29,0.004,,0.5,0.001,
10,37,25,0.008,,0.3,0.002,
11,31,19,0.015,,0.1,0.003,
12,26,23,0.021,,0.1,0.002,
13,29,16,0.030,,0.2,0.001,
14,,,,,,,
15,,,,,,,
16,33,23,0.022,0.022,0.4,0.004,
17,32,12,0.014,0.026,0.4,0.005,
18,23,14,0.011,0.022,0.4,0.004,
19,27,12,0.013,0.021,0.4,0.004,
20,17,15,0.017,0.030,0.5,0.004,
21,28,18,0.005,0.025,0.4,0.004,
22,32,10,0.009,0.018,0.4,0.004,
23,24,12,0.007,0.019,0.4,0.003,
0,20,8,0.012,0.012,0.3,0.003,
1,20,14,0.009,0.018,0.4,0.003,
2,26,23,0.002,0.027,0.6,0.004,
3,25,21,0.002,,0.6,0.004,
4,32,20,0.002,,0.5,0.003,
5,27,15,0.002,,0.6,0.003,
6,34,17,0.002,,0.5,0.003,
7,26,21,0.004,,0.4,0.003,
8,26,12,0.009,,0.4,0.003,
9,12,21,0.005,0.022,0.6,0.004,
10,34,21,0.006,0.019,0.6,0.004,
11,33,20,0.005,0.025,0.7,0.004,
12,22,13,0.011,0.022,0.5,0.004,
13,26,16,0.014,,0.5,0.004,
14,26,20,0.018,,0.5,0.004,
15,20,15,0.023,,0.4,0.004,
16,25,17,0.015,,0.7,0.004,
17,40,20,0.020,0.028,0.5,0.004,
18,28,15,0.027,0.026,0.4,0.004,
19,46,26,0.011,0.042,0.5,0.003,
20,24,7,0.008,0.042,0.5,0.003,
21,29,12,0.002,0.033,0.7,0.004,
22,26,11,0.002,,0.6,0.004,
23,24,6,0.002,,0.5,0.004,
0,20,11,0.002,,0.6,0.004,
1,24,11,0.002,,0.7,0.004,
2,32,14,0.002,,0.6,0.004,
3,26,14,0.002,,0.6,0.004,
4,27,16,0.002,,0.5,0.004,
5,24,13,0.002,,0.6,0.004,
6,30,14,0.002,,0.5,0.004,
7,28,13,0.003,,0.5,0.004,
8,25,12,0.005,,0.5,0.004,
9,33,17,0.006,,0.6,0.004,
10,26,16,0.008,,0.7,0.004,
11,32,17,0.015,,0.7,0.004,
12,38,23,0.024,,0.6,0.004,
13,40,29,0.023,,0.6,0.004,
